"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Mustang Mach-E",4,3.34191303095999,1.48483157357666,8,16,2,1,11,28,3,3,1,2,13,2,2,2,NA,NA,NA,560,36,NA,2,NA,13,NA,33,2,3,3,3,3,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,1,3,2
"Bronco",4,2.94348941752434,-1.0798096768394,10,15,3,1,NA,14,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,650,36,NA,3,NA,81,NA,NA,2,4,4,4,4,3,1,3,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,2,3,4
"Bronco",2,-5.5990055552876,1.24999014791434,12,15,4,2,4,11,6,3,1,22,9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,55000,30,NA,1,NA,3,3,3,3,2,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,2,2,1,1
"Bronco",4,2.06060569426795,-0.0787412794315705,11,15,4,1,NA,12,NA,NA,NA,NA,32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",4,2.02649638775279,1.01550511552871,9,14,2,1,NA,20,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,92,774410,NA,2,3,3,3,3,4,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,2,3,1,3
"Bronco",4,3.09520815306837,-0.392671355055422,10,13,3,1,NA,14,NA,NA,NA,NA,12,NA,NA,NA,0,NA,32000,600,NA,84,NA,60000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",4,3.27377247397294,0.958993556577637,6,11,1,1,NA,16,NA,NA,NA,NA,34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",4,3.48758993542806,0.91410178421322,10,11,3,1,NA,16,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,34,386660,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",4,2.56275693125257,2.46300402456734,6,11,1,1,NA,29,NA,NA,NA,NA,46,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",4,2.92552123599137,2.53871884705734,7,11,1,1,1,16,3,2,1,10,15,2,2,2,NA,NA,NA,775,24,NA,1,NA,47,471300,10,2,3,3,3,4,1,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,3,1,2
"Bronco",4,3.02560976137657,-0.351127191617065,12,11,4,2,7,20,6,3,1,22,32,0,1,NA,69,NA,22500,601,NA,60,1,56506,1,NA,33,2,4,3,4,4,4,1,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,3,2,1,1
"Bronco",2,-5.89130813598628,1.66905140941905,11,12,3,1,1,29,6,1,1,23,16,0,1,NA,39,35000,NA,1100,NA,36,1,70000,53,NA,10,1,3,3,4,4,2,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,3,2,3
"Bronco",2,-6.00110094326536,1.01904028334444,7,16,2,1,1,14,2,3,1,3,34,1,2,2,NA,NA,NA,614,48,NA,2,NA,57,NA,28,2,3,4,3,4,4,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3,3,4,4
"Mustang Mach-E",4,3.66310613097832,0.28693587464698,8,11,2,1,4,13,5,2,1,3,21,0,2,2,NA,NA,NA,470,36,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,3,4,5,4,5,5,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",4,2.46608462246579,0.81851413904007,5,16,1,1,6,16,2,3,1,1,32,2,2,NA,41,6000,2000,750,NA,72,1,51000,30,NA,23,2,2,4,4,4,2,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,3,3,3
"Bronco",4,1.94739740430014,1.27641872021101,8,11,2,1,8,15,5,2,1,3,9,0,2,1,NA,NA,NA,NA,NA,NA,NA,55000,33,NA,1,2,3,3,3,4,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,3,3,1,2
"Mustang Mach-E",4,2.60368788530487,1.39907671628468,9,16,2,1,1,16,5,4,1,14,14,0,2,1,19,20000,16500,290,NA,84,1,44000,11,NA,27,2,3,3,3,3,2,2,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,1,1,3,3
"Mustang Mach-E",4,3.05737620365706,1.88030141979263,6,16,1,1,NA,15,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,529,36,NA,1,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",4,1.70872522937937,1.40465689746237,10,14,3,1,11,12,6,2,1,23,37,0,1,1,26,NA,5000,1500,NA,36,1,49000,54,NA,11,2,2,3,4,3,4,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,1,3,3,2
"Mustang Mach-E",4,2.95753307077662,2.4788421294115,9,16,2,1,6,30,5,2,1,14,42,0,2,2,NA,NA,NA,NA,36,NA,1,NA,65,NA,23,2,4,4,4,4,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,3,1,3,3
"Mustang Mach-E",2,-4.89497118167531,0.831736307850064,8,11,2,2,3,16,10,2,3,12,21,0,2,1,0,10000,NA,604,NA,72,1,57000,23,NA,23,2,4,3,3,2,3,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,4,1,2,1,3
"Bronco",4,2.88526754537896,-0.115595569632204,12,13,4,2,7,27,10,3,3,22,36,0,1,NA,39,5000,NA,933,NA,60,1,65000,31,NA,1,2,2,4,4,4,2,2,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,4,2,2,2
"Bronco",4,0.0669662257517958,2.17977259586134,9,15,2,2,NA,16,NA,NA,NA,NA,17,NA,NA,1,NA,NA,NA,NA,NA,NA,1,70000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
